Fifty Shades of Grey ,4,3.9,34846,1
Jurassic World ,4.5,4.5,34390,2
American Sniper ,5,4.8,34085,3
Furious 7 ,5,4.8,33538,4
Inside Out ,4.5,4.5,15749,5
The Hobbit The Battle of the Five Armies ,4.5,4.3,15337,6
Kingsman The Secret Service ,4.5,4.2,15205,7
Minions ,4,4,14998,8
Avengers Age of Ultron ,5,4.5,14846,9
Into the Woods ,3.5,3.4,13055,10
Cinderella ,5,4.5,12640,11
AntMan ,5,4.5,12055,12
Mad Max Fury Road ,4.5,4.3,10509,13
San Andreas ,4.5,4.3,9749,14
Unbroken ,4.5,4.1,9443,15
Spy ,4.5,4.3,9418,16
Magic Mike XXL ,4.5,4.4,9363,17
Trainwreck ,4.5,4.1,8381,18
Mission Impossible  Rogue Nation ,4.5,4.4,8357,19
Straight Outta Compton ,5,4.8,8096,20
Tomorrowland ,4,3.7,8077,21
The Imitation Game ,5,4.6,8055,22
Home ,4.5,4.4,7705,23
The Divergent Series Insurgent ,4.5,4.2,7123,24
Selma ,5,4.6,7025,25
Annie ,4.5,4.2,6835,26
Taken 3 ,4.5,4.1,6757,27
The Wedding Ringer ,4.5,4.4,6506,28
Ted 2 ,4.5,4.1,6437,29
Fantastic Four ,3,2.7,6288,30
Terminator Genisys ,4.5,4.2,6272,31
Get Hard ,4,3.9,5933,32
Southpaw ,5,4.6,5597,33
Night at the Museum Secret of the Tomb ,4.5,4.1,5445,34
Focus ,4,3.9,4933,35
Pitch Perfect 2 ,4.5,4.2,4577,36
The SpongeBob Movie Sponge Out of Water ,3.5,3.3,4493,37
Entourage ,4.5,4.2,4279,38
Birdman ,4,3.7,4194,39
Jupiter Ascending ,3.5,3.4,4122,40
Paddington ,4.5,4.3,4045,41
Pixels ,4.5,4.1,3886,42
Vacation ,4,3.8,3815,43
Dragon Ball Z Resurrection F ,5,4.8,3740,44
Chappie ,4,3.8,3642,45
Ex Machina ,4.5,4.1,3458,46
Max ,4.5,4.5,3412,47
The Age of Adaline ,4.5,4.2,3325,49
Insidious Chapter 3 ,4.5,4.1,3276,50
Top Five ,4,3.5,3223,51
